Query-mutant-straina;Query- strain-bnumberb;Recipient-mutant-strain;bnumber-of-recipient-mutant-strain;Strain-Versionsc;Essentiality;Functional-Association;S;Z;LOG(Q/R)
iscA;b2528;nuoK;b2279;Isolate 1;non-essential;No functional association with STRING;-3.099;-4.737;-1.3237
iscA;b2528;ygfZ;b2898;Isolate 1;non-essential;No functional association with STRING;-6.182;-9.541;-10.5295
iscA;b2528;ygfZ;b2898;Isolate 2;non-essential;No functional association with STRING;-8.087;-13.085;-11.4410
iscA;b2528;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-13.653;-21.180;-10.5295
iscA;b2528;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.641;-12.358;-9.9116
iscA;b2528;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;-3.126;-5.000;-0.1893
iscA;b2528;aaeX;b3242;Isolate 1;non-essential;No functional association with STRING;-3.113;-4.759;-10.5295
iscA;b2528;aaeX;b3242;Isolate 2;non-essential;No functional association with STRING;-3.703;-5.941;-11.4410
iscU;b2529;rpsT;b0023;Isolate 1;non-essential;No functional association with STRING;-3.673;-4.366;-0.3099
iscU;b2529;glnD;b0167;Isolate 2;non-essential;No functional association with STRING;-5.408;-7.454;-0.4323
iscU;b2529;ydhD;b1654;Isolate 1;non-essential;No functional association with STRING;-5.228;-6.232;-9.5756
iscU;b2529;ydhD;b1654;Isolate 2;non-essential;No functional association with STRING;-4.942;-6.805;-10.5305
iscU;b2529;sufE;b1679;Isolate 1;non-essential;No functional association with STRING;-5.688;-6.784;-10.8256
iscU;b2529;sufS;b1680;Isolate 1;non-essential;Functional association with STRING;-5.525;-6.588;-10.8256
iscU;b2529;sufD;b1681;Isolate 2;non-essential;Functional association with STRING;-6.618;-9.139;-10.5305
iscU;b2529;sufC;b1682;Isolate 2;non-essential;No functional association with STRING;-5.324;-7.338;-9.6998
iscU;b2529;sufB;b1683;Isolate 1;non-essential;Functional association with STRING;-7.332;-8.758;-9.5199
iscU;b2529;sufB;b1683;Isolate 2;non-essential;Functional association with STRING;-3.558;-4.877;-10.5305
iscU;b2529;hemF;b2436;Isolate 1;non-essential;No functional association with STRING;-6.149;-7.337;-10.8256
iscU;b2529;hemF;b2436;Isolate 2;non-essential;No functional association with STRING;-5.093;-7.016;-10.5305
iscU;b2529;ypfH;b2473;Isolate 1;non-essential;No functional association with STRING;-4.951;-5.899;-0.4336
iscU;b2529;rluD;b2594;Isolate 1;non-essential;No functional association with STRING;-3.612;-4.293;-1.0640
iscU;b2529;ygfZ;b2898;Isolate 1;non-essential;No functional association with STRING;-5.415;-6.456;-10.8256
iscU;b2529;tolC;b3035;Isolate 2;non-essential;No functional association with STRING;-3.667;-5.029;-3.6196
iscU;b2529;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;-9.125;-12.632;-1.0017
iscU;b2529;yrbA;b3190;Isolate 1;non-essential;No functional association with STRING;-4.021;-4.784;-1.7891
iscU;b2529;bioH;b3412;Isolate 1;non-essential;No functional association with STRING;-5.337;-6.363;-1.1077
iscU;b2529;gntY;b3414;Isolate 2;non-essential;Functional association with STRING;-3.063;-4.188;-1.2239
iscS;b2530;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-4.376;-5.345;-3.4968
iscS;b2530;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-11.822;-15.387;-6.3955
iscS;b2530;glnD;b0167;Isolate 2;non-essential;No functional association with STRING;-4.112;-5.299;-0.6391
iscS;b2530;nusB;b0416;Isolate 1;non-essential;No functional association with STRING;-4.467;-5.457;-3.4028
iscS;b2530;nusB;b0416;Isolate 2;non-essential;No functional association with STRING;-3.876;-4.990;-1.9494
iscS;b2530;tolQ;b0737;Isolate 2;non-essential;No functional association with STRING;-4.913;-6.347;-2.2548
iscS;b2530;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-17.599;-9.6369
iscS;b2530;ydhD;b1654;Isolate 1;non-essential;Functional association with STRING;-3.503;-4.261;-2.2128
iscS;b2530;ydhD;b1654;Isolate 2;non-essential;Functional association with STRING;-5.401;-6.985;-2.4575
iscS;b2530;sufE;b1679;Isolate 1;non-essential;Functional association with STRING;-14.617;-18.052;-10.8435
iscS;b2530;sufS;b1680;Isolate 1;non-essential;Functional association with STRING;-11.076;-13.659;-10.8435
iscS;b2530;sufC;b1682;Isolate 2;non-essential;Functional association with STRING;-8.109;-10.529;-3.9774
iscS;b2530;sufB;b1683;Isolate 1;non-essential;Functional association with STRING;-13.023;-16.074;-4.4815
iscS;b2530;sufB;b1683;Isolate 2;non-essential;Functional association with STRING;-14.285;-18.611;-5.9680
iscS;b2530;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-8.970;-10.8435
iscS;b2530;truA;b2318;Isolate 1;non-essential;No functional association with STRING;-10.362;-12.773;-7.9840
iscS;b2530;truA;b2318;Isolate 2;non-essential;No functional association with STRING;-10.051;-13.071;-9.6369
iscS;b2530;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-4.173;-5.093;-2.4647
iscS;b2530;lysS;b2890;Isolate 1;non-essential;No functional association with STRING;-5.326;-6.524;-3.2659
iscS;b2530;lysS;b2890;Isolate 2;non-essential;No functional association with STRING;-8.669;-11.261;-3.4518
iscS;b2530;ygfZ;b2898;Isolate 2;non-essential;No functional association with STRING;-4.370;-5.637;-6.0514
iscS;b2530;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-5.783;-7.091;-2.6622
iscS;b2530;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;-6.300;-8.162;-0.6732
iscS;b2530;gidA;b3741;Isolate 1;non-essential;No functional association with STRING;-12.227;-15.086;-9.9039
iscS;b2530;gidA;b3741;Isolate 2;non-essential;No functional association with STRING;-10.088;-13.119;-8.3808
iscR;b2531;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-4.098;-5.593;-10.1946
iscR;b2531;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-12.651;-20.186;-11.6942
iscR;b2531;sdhC;b0721;Isolate 2;non-essential;No functional association with STRING;-3.009;-4.774;-2.1064
iscR;b2531;tolB;b0740;Isolate 2;non-essential;No functional association with STRING;-3.135;-4.974;-1.6556
iscR;b2531;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-21.562;-11.6942
iscR;b2531;ycfK;b1154;Isolate 2;non-essential;No functional association with STRING;-2.789;-4.422;-1.7071
iscR;b2531;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-10.046;-10.1946
iscR;b2531;atoC;b2220;Isolate 2;non-essential;No functional association with STRING;-3.045;-4.831;-1.7433
iscR;b2531;nuoK;b2279;Isolate 2;non-essential;No functional association with STRING;-2.931;-4.649;-1.8040
iscR;b2531;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-9.762;-13.476;-10.1946
iscR;b2531;yfjO;b2631;Isolate 1;non-essential;No functional association with STRING;-3.514;-4.780;-2.3088
iscR;b2531;recA;b2699;Isolate 2;non-essential;No functional association with STRING;-2.548;-4.036;-11.6942
iscR;b2531;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-13.510;-18.694;-8.1572
iscR;b2531;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.588;-12.093;-10.9700
iscR;b2531;aaeX;b3242;Isolate 2;non-essential;No functional association with STRING;-2.578;-4.085;-11.6942
iscR;b2531;pstA;b3726;Isolate 1;non-essential;No functional association with STRING;-4.572;-6.252;-2.8957
iscR;b2531;pldA;b3821;Isolate 1;non-essential;No functional association with STRING;-3.250;-4.412;-7.7202
rpoS;b2741;ubiF;b0662;Isolate 1;non-essential;No functional association with STRING;-3.144;-4.155;-5.5676
rpoS;b2741;icd;b1136;Isolate 2;non-essential;No functional association with STRING;-4.251;-6.141;-3.2507
rpoS;b2741;cysB;b1275;Isolate 1;non-essential;Functional association with STRING;-4.734;-6.303;-10.9285
rpoS;b2741;argT;b2310;Isolate 1;non-essential;No functional association with STRING;-3.411;-4.515;-1.8980
rpoS;b2741;ubiX;b2311;Isolate 2;non-essential;No functional association with STRING;-2.866;-4.103;-11.1808
rpoS;b2741;iscS;b2530;Isolate 2;non-essential;No functional association with STRING;-3.973;-5.732;-7.8592
rpoS;b2741;chpA;b2782;Isolate 1;non-essential;No functional association with STRING;-3.180;-4.203;-2.2392
rpoS;b2741;recB;b2820;Isolate 1;non-essential;No functional association with STRING;-4.075;-5.414;-10.9285
rpoS;b2741;kduD;b2842;Isolate 1;non-essential;No functional association with STRING;-5.372;-7.166;-2.6055
rpoS;b2741;rfaE;b3052;Isolate 2;non-essential;No functional association with STRING;-3.466;-4.986;-8.1592
rpoS;b2741;livF;b3454;Isolate 1;non-essential;No functional association with STRING;-4.459;-5.932;-2.2516
ygcB;b2761;ydcS;b1440;Isolate 2;non-essential;No functional association with STRING;-3.177;-4.030;-2.1103
ygcB;b2761;yebG;b1848;Isolate 2;non-essential;No functional association with STRING;-9.205;-12.060;-8.0170
ygcB;b2761;yecR;b1904;Isolate 2;non-essential;No functional association with STRING;-6.540;-8.509;-3.3633
ygcB;b2761;yedE;b1929;Isolate 2;non-essential;No functional association with STRING;-4.693;-6.050;-2.2947
ygcB;b2761;rtn;b2176;Isolate 2;non-essential;No functional association with STRING;-3.674;-4.692;-2.5056
ygcB;b2761;dedD;b2314;Isolate 1;non-essential;No functional association with STRING;-3.624;-4.299;-2.4886
ygcB;b2761;yfeY;b2432;Isolate 2;non-essential;No functional association with STRING;-3.490;-4.447;-1.8988
ygcB;b2761;yfgM;b2513;Isolate 2;non-essential;No functional association with STRING;-3.830;-4.900;-2.1840
ygcB;b2761;hcaT;b2536;Isolate 1;non-essential;No functional association with STRING;-3.996;-4.759;-2.6417
ygcB;b2761;yfiE;b2577;Isolate 2;non-essential;No functional association with STRING;-4.592;-5.914;-3.1566
ygcB;b2761;yfjH;b2623;Isolate 1;non-essential;No functional association with STRING;-6.405;-7.735;-2.9771
ygcB;b2761;yfjI;b2625;Isolate 1;non-essential;No functional association with STRING;-10.069;-12.263;-4.5636
ygcB;b2761;yfjI;b2625;Isolate 2;non-essential;No functional association with STRING;-3.362;-4.277;-2.1224
ygcB;b2761;yfjL;b2628;Isolate 2;non-essential;No functional association with STRING;-3.601;-4.595;-2.4102
ygcB;b2761;yfjW;b2642;Isolate 1;non-essential;No functional association with STRING;-5.275;-6.339;-2.6759
ygcB;b2761;yfjW;b2642;Isolate 2;non-essential;No functional association with STRING;-5.357;-6.934;-2.3808
ygcB;b2761;alaS;b2697;Isolate 2;non-essential;No functional association with STRING;-8.679;-11.359;-11.5402
ygcB;b2761;gutQ;b2708;Isolate 1;non-essential;No functional association with STRING;-4.857;-5.822;-2.4110
ygcB;b2761;norV;b2710;Isolate 1;non-essential;No functional association with STRING;-5.918;-7.134;-2.4008
ygcB;b2761;hycH;b2718;Isolate 1;non-essential;No functional association with STRING;-9.307;-11.322;-4.3337
ygcB;b2761;hycH;b2718;Isolate 2;non-essential;No functional association with STRING;-7.703;-10.059;-3.1848
ygcB;b2761;yqcB;b2791;Isolate 1;non-essential;No functional association with STRING;-3.567;-4.229;-2.1800
ygcB;b2761;mltA;b2813;Isolate 2;non-essential;No functional association with STRING;-3.916;-5.015;-2.0416
ygcB;b2761;ptr;b2821;Isolate 1;non-essential;No functional association with STRING;-3.610;-4.282;-2.4482
ygcB;b2761;ptr;b2821;Isolate 2;non-essential;No functional association with STRING;-4.471;-5.753;-2.8154
ygcB;b2761;pppA;b2972;Isolate 1;non-essential;No functional association with STRING;-5.121;-6.149;-2.5260
ygcB;b2761;pppA;b2972;Isolate 2;non-essential;No functional association with STRING;-6.984;-9.101;-3.4836
ygcB;b2761;glgS;b3049;Isolate 1;non-essential;No functional association with STRING;-4.897;-5.872;-2.5271
ygcB;b2761;rfaE;b3052;Isolate 1;non-essential;No functional association with STRING;-4.313;-5.151;-11.6022
ygcB;b2761;rfaE;b3052;Isolate 2;non-essential;No functional association with STRING;-3.490;-4.447;-11.5402
ygcB;b2761;rpmJ;b3299;Isolate 1;non-essential;No functional association with STRING;-5.535;-6.660;-4.1732
ygcB;b2761;rfaD;b3619;Isolate 2;non-essential;No functional association with STRING;-4.671;-6.020;-11.5402
ygcB;b2761;rfaF;b3620;Isolate 2;non-essential;No functional association with STRING;-3.556;-4.535;-4.0664
ygcB;b2761;glnG;b3868;Isolate 1;non-essential;No functional association with STRING;-7.696;-9.331;-11.6022
ygcB;b2761;zraR;b4004;Isolate 1;non-essential;No functional association with STRING;-4.831;-5.791;-2.1342
recD;b2819;hpt;b0125;Isolate 1;non-essential;No functional association with STRING;-2.769;-4.966;-5.5479
recD;b2819;betT;b0314;Isolate 1;non-essential;No functional association with STRING;-3.516;-6.340;-2.6501
recD;b2819;codB;b0336;Isolate 1;non-essential;No functional association with STRING;-2.278;-4.064;-2.6501
recD;b2819;mhpB;b0348;Isolate 1;non-essential;No functional association with STRING;-5.171;-9.385;-7.6429
recD;b2819;mhpB;b0348;Isolate 2;non-essential;No functional association with STRING;-7.245;-15.536;-9.9705
recD;b2819;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-29.066;-12.3030
recD;b2819;gabT;b2662;Isolate 1;non-essential;No functional association with STRING;-8.441;-15.401;-8.1163
recD;b2819;cysH;b2762;Isolate 1;non-essential;No functional association with STRING;-2.474;-4.424;-2.4520
recD;b2819;cysH;b2762;Isolate 2;non-essential;No functional association with STRING;-2.331;-4.925;-3.0834
recD;b2819;barA;b2786;Isolate 1;non-essential;No functional association with STRING;-5.883;-10.695;-12.2303
recD;b2819;ygfZ;b2898;Isolate 2;non-essential;No functional association with STRING;-2.081;-4.384;-2.4669
recD;b2819;yggT;b2952;Isolate 2;non-essential;No functional association with STRING;-2.427;-5.133;-2.6339
recD;b2819;yhdV;b3267;Isolate 1;non-essential;No functional association with STRING;-3.910;-7.065;-2.7317
recD;b2819;yheT;b3353;Isolate 1;non-essential;No functional association with STRING;-14.582;-26.696;-12.2303
recD;b2819;uhpB;b3668;Isolate 1;non-essential;No functional association with STRING;-3.743;-6.759;-8.7288
recD;b2819;pyrB;b4245;Isolate 1;non-essential;No functional association with STRING;-3.899;-7.046;-2.3706
ygfJ;b2877;narV;b1465;Isolate 2;non-essential;No functional association with STRING;-2.605;-4.377;-1.6849
ygfJ;b2877;cysN;b2751;Isolate 1;non-essential;No functional association with STRING;-9.912;-8.770;-12.1526
ygfJ;b2877;recC;b2822;Isolate 2;non-essential;No functional association with STRING;-2.961;-4.998;-4.1272
ygfJ;b2877;kduI;b2843;Isolate 2;non-essential;No functional association with STRING;-2.564;-4.304;-1.5623
ygfJ;b2877;argK;b2918;Isolate 2;non-essential;No functional association with STRING;-2.950;-4.978;-1.7470
ygfJ;b2877;yqiB;b3033;Isolate 2;non-essential;No functional association with STRING;-3.337;-5.653;-3.4182
ygfJ;b2877;glgB;b3432;Isolate 1;non-essential;No functional association with STRING;-13.027;-11.591;-9.6382
ygfJ;b2877;treF;b3519;Isolate 2;non-essential;No functional association with STRING;-4.720;-8.065;-12.3554
ygfJ;b2877;xylB;b3564;Isolate 1;non-essential;No functional association with STRING;-5.296;-4.590;-3.0023
ygfJ;b2877;bglB;b3721;Isolate 2;non-essential;No functional association with STRING;-4.126;-7.030;-2.6330
ygfJ;b2877;rplA;b3984;Isolate 2;non-essential;No functional association with STRING;-6.239;-10.715;-2.3277
dsbC;b2893;lpcA;b0222;Isolate 2;non-essential;No functional association with STRING;-3.372;-4.937;-12.2923
dsbC;b2893;tolB;b0740;Isolate 2;non-essential;No functional association with STRING;-5.310;-7.844;-3.0422
dsbC;b2893;ynfH;b1590;Isolate 1;non-essential;No functional association with STRING;-3.130;-4.760;-9.2970
dsbC;b2893;ynfK;b1593;Isolate 1;non-essential;No functional association with STRING;-3.077;-4.678;-1.5060
dsbC;b2893;yeaV;b1801;Isolate 2;non-essential;No functional association with STRING;-3.622;-5.312;-7.2670
dsbC;b2893;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-11.313;-10.4689
dsbC;b2893;rluD;b2594;Isolate 2;non-essential;No functional association with STRING;-7.923;-11.764;-10.7074
dsbC;b2893;recB;b2820;Isolate 1;non-essential;No functional association with STRING;-3.236;-4.927;-7.4062
dsbC;b2893;recB;b2820;Isolate 2;non-essential;No functional association with STRING;-3.102;-4.532;-3.9664
dsbC;b2893;yghR;b2984;Isolate 1;non-essential;No functional association with STRING;-4.933;-7.596;-2.5104
dsbC;b2893;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-11.364;-12.2923
dsbC;b2893;rpsU;b3065;Isolate 2;non-essential;No functional association with STRING;-3.854;-5.661;-0.3134
dsbC;b2893;rfaC;b3621;Isolate 2;non-essential;No functional association with STRING;-2.766;-4.029;-2.9756
dsbC;b2893;pstA;b3726;Isolate 1;non-essential;No functional association with STRING;-3.404;-5.191;-1.8942
dsbC;b2893;metJ;b3938;Isolate 1;non-essential;No functional association with STRING;-2.891;-4.384;-1.5870
dsbC;b2893;frwB;b3950;Isolate 2;non-essential;No functional association with STRING;-3.513;-5.149;-2.0637
dsbC;b2893;fabR;b3963;Isolate 1;non-essential;No functional association with STRING;-3.378;-5.150;-2.4205
dsbC;b2893;eptA;b4114;Isolate 1;non-essential;No functional association with STRING;-10.828;-16.864;-6.8664
greA;b3181;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-2.976;-4.495;-2.3745
greA;b3181;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-12.657;-27.187;-9.6782
greA;b3181;sucA;b0726;Isolate 2;non-essential;No functional association with STRING;-3.986;-8.512;-2.1751
greA;b3181;tolA;b0739;Isolate 2;non-essential;No functional association with STRING;-1.941;-4.109;-0.9851
greA;b3181;tolB;b0740;Isolate 2;non-essential;No functional association with STRING;-3.402;-7.255;-1.7871
greA;b3181;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-29.026;-9.6782
greA;b3181;intR;b1345;Isolate 2;non-essential;No functional association with STRING;-2.092;-4.433;-1.3666
greA;b3181;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-11.137;-11.9895
greA;b3181;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-8.943;-13.667;-7.7080
greA;b3181;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-13.653;-20.906;-11.9895
greA;b3181;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-6.946;-14.888;-9.6782
greA;b3181;yhaB;b3120;Isolate 1;non-essential;No functional association with STRING;-9.578;-14.643;-11.4558
greA;b3181;rng;b3247;Isolate 2;non-essential;No functional association with STRING;-2.502;-5.317;-8.3570
greA;b3181;malS;b3571;Isolate 2;non-essential;No functional association with STRING;-1.909;-4.040;-1.3456
greA;b3181;setC;b3659;Isolate 2;non-essential;No functional association with STRING;-1.930;-4.086;-1.5025
greA;b3181;atpH;b3735;Isolate 1;non-essential;No functional association with STRING;-10.906;-16.683;-5.1386
greA;b3181;holD;b4372;Isolate 2;non-essential;No functional association with STRING;-2.785;-5.927;-3.5038
yrbA;b3190;yahN;b0328;Isolate 1;non-essential;No functional association with STRING;-6.944;-8.404;-2.9379
yrbA;b3190;yaiT;b0371;Isolate 2;non-essential;No functional association with STRING;-3.034;-5.156;-1.8586
yrbA;b3190;lipB;b0630;Isolate 2;non-essential;No functional association with STRING;-3.030;-5.148;-2.5896
yrbA;b3190;sucD;b0729;Isolate 1;non-essential;No functional association with STRING;-5.131;-6.177;-6.3924
yrbA;b3190;ompA;b0957;Isolate 2;non-essential;No functional association with STRING;-7.180;-12.405;-10.4570
yrbA;b3190;narJ;b1226;Isolate 2;non-essential;No functional association with STRING;-2.866;-4.861;-2.0406
yrbA;b3190;cysB;b1275;Isolate 1;non-essential;No functional association with STRING;-4.685;-5.628;-8.2507
yrbA;b3190;yncJ;b1436;Isolate 2;non-essential;No functional association with STRING;-2.517;-4.251;-1.2912
yrbA;b3190;yebE;b1846;Isolate 1;non-essential;No functional association with STRING;-4.893;-5.884;-6.7399
yrbA;b3190;otsB;b1897;Isolate 1;non-essential;No functional association with STRING;-15.771;-19.249;-8.8439
yrbA;b3190;yecH;b1906;Isolate 1;non-essential;No functional association with STRING;-4.675;-5.616;-7.1053
yrbA;b3190;yehW;b2128;Isolate 2;non-essential;No functional association with STRING;-3.610;-6.163;-2.3127
yrbA;b3190;ubiX;b2311;Isolate 2;non-essential;No functional association with STRING;-2.873;-4.874;-10.4570
yrbA;b3190;yfeD;b2399;Isolate 2;non-essential;No functional association with STRING;-5.288;-9.098;-7.9759
yrbA;b3190;iscU;b2529;Isolate 1;non-essential;No functional association with STRING;-6.147;-7.425;-10.2677
yrbA;b3190;iscS;b2530;Isolate 2;non-essential;No functional association with STRING;-4.052;-6.935;-10.4570
yrbA;b3190;cysH;b2762;Isolate 1;non-essential;No functional association with STRING;-4.532;-5.441;-3.3602
yrbA;b3190;cysH;b2762;Isolate 2;non-essential;No functional association with STRING;-5.654;-9.737;-6.0066
yrbA;b3190;tolC;b3035;Isolate 2;non-essential;No functional association with STRING;-3.072;-5.223;-3.0234
yrbA;b3190;yraI;b3143;Isolate 1;non-essential;No functional association with STRING;-10.554;-12.839;-5.1301
yrbA;b3190;yraN;b3148;Isolate 2;non-essential;No functional association with STRING;-10.859;-18.838;-4.7224
yrbA;b3190;yhdA;b3252;Isolate 1;non-essential;No functional association with STRING;-3.820;-4.566;-1.7495
yrbA;b3190;gspC;b3324;Isolate 1;non-essential;No functional association with STRING;-4.255;-5.101;-5.7261
yrbA;b3190;yiiS;b3922;Isolate 2;non-essential;No functional association with STRING;-5.012;-8.614;-9.0336
yrbA;b3190;eptA;b4114;Isolate 1;non-essential;No functional association with STRING;-10.922;-13.291;-7.7398
yrbA;b3190;rsgA;b4161;Isolate 1;non-essential;No functional association with STRING;-4.118;-4.932;-2.7285
rpoN;b3202;ybaJ;b0461;Isolate 1;non-essential;No functional association with STRING;-6.614;-10.621;-7.3000
rpoN;b3202;ybbY;b0513;Isolate 1;non-essential;No functional association with STRING;-3.811;-6.087;-7.7501
rpoN;b3202;hns;b1237;Isolate 2;non-essential;No functional association with STRING;-2.538;-5.714;-4.3047
rpoN;b3202;rfbD;b2040;Isolate 2;non-essential;No functional association with STRING;-12.682;-28.739;-11.4871
rpoN;b3202;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-11.725;-10.7283
rpoN;b3202;ubiX;b2311;Isolate 2;non-essential;Functional association with STRING;-2.385;-5.365;-7.4889
rpoN;b3202;ppx;b2502;Isolate 2;non-essential;No functional association with STRING;-1.824;-4.093;-1.0408
rpoN;b3202;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-17.331;-11.4871
rpoN;b3202;rfaD;b3619;Isolate 2;non-essential;No functional association with STRING;-2.171;-4.881;-11.4871
rpoN;b3202;rfaS;b3629;Isolate 2;non-essential;No functional association with STRING;-1.915;-4.299;-0.8143
rpoN;b3202;dgkA;b4042;Isolate 1;non-essential;No functional association with STRING;-5.706;-9.153;-2.4962
yhcG;b3220;lpd;b0116;Isolate 1;non-essential;No functional association with STRING;-5.961;-13.193;-11.3710
yhcG;b3220;lpd;b0116;Isolate 2;non-essential;No functional association with STRING;-12.657;-26.649;-9.3090
yhcG;b3220;sucA;b0726;Isolate 2;non-essential;No functional association with STRING;-3.014;-6.258;-1.8245
yhcG;b3220;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-28.454;-9.3090
yhcG;b3220;narJ;b1226;Isolate 1;non-essential;No functional association with STRING;-2.014;-4.361;-1.6536
yhcG;b3220;ihfA;b1712;Isolate 1;non-essential;No functional association with STRING;-2.119;-4.595;-1.4636
yhcG;b3220;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.297;-16.185;-11.3710
yhcG;b3220;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-2.816;-6.156;-2.5128
yhcG;b3220;rseA;b2572;Isolate 2;non-essential;No functional association with STRING;-3.209;-6.670;-2.1364
yhcG;b3220;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.656;-16.074;-9.3090
yhcG;b3220;ebgR;b3075;Isolate 1;non-essential;No functional association with STRING;-2.082;-4.512;-1.8812
yhcG;b3220;rpe;b3386;Isolate 1;non-essential;No functional association with STRING;-2.632;-5.744;-2.3997
yhcG;b3220;yihQ;b3878;Isolate 1;non-essential;No functional association with STRING;-3.250;-7.127;-11.3710
mdh;b3236;lpd;b0116;Isolate 2;non-essential;Functional association with STRING;-3.011;-5.258;-3.2405
mdh;b3236;betT;b0314;Isolate 1;non-essential;No functional association with STRING;-2.540;-4.614;-2.0245
mdh;b3236;ybeY;b0659;Isolate 1;non-essential;No functional association with STRING;-2.396;-4.349;-3.5043
mdh;b3236;ybhC;b0772;Isolate 2;non-essential;No functional association with STRING;-13.511;-23.792;-11.2147
mdh;b3236;ycdY;b1035;Isolate 1;non-essential;No functional association with STRING;-2.505;-4.548;-1.9535
mdh;b3236;intE;b1140;Isolate 2;non-essential;No functional association with STRING;-2.693;-4.696;-6.0070
mdh;b3236;ldcA;b1192;Isolate 2;non-essential;No functional association with STRING;-5.290;-9.281;-2.3361
mdh;b3236;intR;b1345;Isolate 2;non-essential;No functional association with STRING;-2.948;-5.146;-6.6473
mdh;b3236;ccmC;b2199;Isolate 1;non-essential;No functional association with STRING;-7.292;-13.311;-11.2854
mdh;b3236;nuoK;b2279;Isolate 1;non-essential;No functional association with STRING;-3.306;-6.015;-1.4233
mdh;b3236;rseA;b2572;Isolate 1;non-essential;No functional association with STRING;-4.259;-7.759;-2.5519
mdh;b3236;hycB;b2724;Isolate 2;non-essential;Functional association with STRING;-2.930;-5.114;-7.5362
mdh;b3236;hycA;b2725;Isolate 1;non-essential;No functional association with STRING;-3.021;-5.493;-9.4993
mdh;b3236;ubiH;b2907;Isolate 1;non-essential;No functional association with STRING;-5.394;-9.837;-2.5557
mdh;b3236;folB;b3058;Isolate 2;non-essential;No functional association with STRING;-7.357;-12.929;-6.2752
mdh;b3236;yraO;b3149;Isolate 1;non-essential;No functional association with STRING;-2.354;-4.272;-1.7207
mdh;b3236;npr;b3206;Isolate 2;non-essential;No functional association with STRING;-2.840;-4.955;-1.9751
mdh;b3236;rsmB;b3289;Isolate 2;non-essential;No functional association with STRING;-2.612;-4.552;-1.9945
mdh;b3236;yieP;b3755;Isolate 1;non-essential;No functional association with STRING;-3.063;-5.571;-10.1179
mdh;b3236;yieP;b3755;Isolate 2;non-essential;No functional association with STRING;-10.829;-19.057;-6.6594
mdh;b3236;eptA;b4114;Isolate 1;non-essential;No functional association with STRING;-10.995;-20.092;-10.1479
yhdZ;b3271;acrB;b0462;Isolate 2;non-essential;No functional association with STRING;-3.160;-4.244;-2.9482
yhdZ;b3271;sbcB;b2011;Isolate 2;non-essential;No functional association with STRING;-4.970;-6.760;-3.6868
yhdZ;b3271;hscA;b2526;Isolate 1;non-essential;No functional association with STRING;-5.851;-7.085;-2.6286
yhdZ;b3271;proX;b2679;Isolate 1;non-essential;No functional association with STRING;-6.109;-7.405;-3.1152
yhdZ;b3271;aaeR;b3243;Isolate 1;non-essential;No functional association with STRING;-4.787;-5.765;-6.2781
yhdZ;b3271;aaeR;b3243;Isolate 2;non-essential;No functional association with STRING;-3.220;-4.328;-1.7239
yhdZ;b3271;yrdA;b3279;Isolate 1;non-essential;No functional association with STRING;-7.069;-8.597;-2.6971
yhdZ;b3271;yrdB;b3280;Isolate 2;non-essential;No functional association with STRING;-4.983;-6.779;-5.9298
yhdZ;b3271;aroE;b3281;Isolate 1;non-essential;No functional association with STRING;-9.091;-11.107;-10.3397
