cell1,cell2,cell3,cell4,cell5
ACOLIPAabctex,atp_c + h2o_c + acolipa_p  -> adp_c + h_c + pi_c + acolipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
CLIPAabctex,atp_c + h2o_c + lipa_cold_p  -> adp_c + h_c + pi_c + lipa_cold_e ,"Lipopolysaccharide Biosynthesis / Recycling","Cold lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAPabctex,atp_c + h2o_c + colipap_p  -> adp_c + h_c + pi_c + colipap_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAabctex,atp_c + h2o_c + colipa_p  -> adp_c + h_c + pi_c + colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ENLIPAabctex,atp_c + h2o_c + enlipa_p  -> adp_c + h_c + pi_c + enlipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Phosphoethanolamine lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ECA4COLIPAabctex,atp_c + h2o_c + eca4colipa_p  -> adp_c + h_c + pi_c + eca4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
LIPAabctex,atp_c + h2o_c + lipa_p  -> adp_c + h_c + pi_c + lipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
K2L4Aabctex,atp_c + h2o_c + kdo2lipid4_p  -> adp_c + h_c + pi_c + kdo2lipid4_e ,"Lipopolysaccharide Biosynthesis / Recycling","KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
O16A4COLIPAabctex,atp_c + h2o_c + o16a4colipa_p  -> adp_c + h_c + pi_c + o16a4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ACOLIPAabctex,atp_c + h2o_c + acolipa_p  -> adp_c + h_c + pi_c + acolipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
CLIPAabctex,atp_c + h2o_c + lipa_cold_p  -> adp_c + h_c + pi_c + lipa_cold_e ,"Lipopolysaccharide Biosynthesis / Recycling","Cold lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAPabctex,atp_c + h2o_c + colipap_p  -> adp_c + h_c + pi_c + colipap_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAabctex,atp_c + h2o_c + colipa_p  -> adp_c + h_c + pi_c + colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ENLIPAabctex,atp_c + h2o_c + enlipa_p  -> adp_c + h_c + pi_c + enlipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Phosphoethanolamine lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ECA4COLIPAabctex,atp_c + h2o_c + eca4colipa_p  -> adp_c + h_c + pi_c + eca4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
LIPAabctex,atp_c + h2o_c + lipa_p  -> adp_c + h_c + pi_c + lipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
K2L4Aabctex,atp_c + h2o_c + kdo2lipid4_p  -> adp_c + h_c + pi_c + kdo2lipid4_e ,"Lipopolysaccharide Biosynthesis / Recycling","KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
O16A4COLIPAabctex,atp_c + h2o_c + o16a4colipa_p  -> adp_c + h_c + pi_c + o16a4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ACOLIPAabctex,atp_c + h2o_c + acolipa_p  -> adp_c + h_c + pi_c + acolipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
CLIPAabctex,atp_c + h2o_c + lipa_cold_p  -> adp_c + h_c + pi_c + lipa_cold_e ,"Lipopolysaccharide Biosynthesis / Recycling","Cold lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAPabctex,atp_c + h2o_c + colipap_p  -> adp_c + h_c + pi_c + colipap_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAabctex,atp_c + h2o_c + colipa_p  -> adp_c + h_c + pi_c + colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ENLIPAabctex,atp_c + h2o_c + enlipa_p  -> adp_c + h_c + pi_c + enlipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Phosphoethanolamine lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ECA4COLIPAabctex,atp_c + h2o_c + eca4colipa_p  -> adp_c + h_c + pi_c + eca4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
LIPAabctex,atp_c + h2o_c + lipa_p  -> adp_c + h_c + pi_c + lipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
K2L4Aabctex,atp_c + h2o_c + kdo2lipid4_p  -> adp_c + h_c + pi_c + kdo2lipid4_e ,"Lipopolysaccharide Biosynthesis / Recycling","KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
O16A4COLIPAabctex,atp_c + h2o_c + o16a4colipa_p  -> adp_c + h_c + pi_c + o16a4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ACCOAC,accoa_c + atp_c + hco3_c  -> adp_c + malcoa_c + h_c + pi_c ,"Membrane Lipid Metabolism","Acetyl-CoA carboxylase",b0185 and b2316 and b3255 and b3256
ACCOAC,accoa_c + atp_c + hco3_c  -> adp_c + malcoa_c + h_c + pi_c ,"Membrane Lipid Metabolism","Acetyl-CoA carboxylase",b0185 and b2316 and b3255 and b3256
FMETTRS,10fthf_c + mettrna_c  -> fmettrna_c + h_c + thf_c ,"tRNA Charging","Methionyl-tRNA formyltransferase",b3288
TRPTRS,atp_c + trnatrp_c + trp__L_c  -> amp_c + ppi_c + trptrna_c ,"tRNA Charging","Tryptophanyl-tRNA synthetase",b3384
ASAD,aspsa_c + nadp_c + pi_c  <=> 4pasp_c + h_c + nadph_c ,"Threonine and Lysine Metabolism","Aspartate-semialdehyde dehydrogenase",b3433
GLYTRS,atp_c + gly_c + trnagly_c  -> amp_c + glytrna_c + ppi_c ,"tRNA Charging","Glycyl-tRNA synthetase",b3559 and b3560
GLYTRS,atp_c + gly_c + trnagly_c  -> amp_c + glytrna_c + ppi_c ,"tRNA Charging","Glycyl-tRNA synthetase",b3559 and b3560
G3PD2,glyc3p_c + nadp_c  <=> dhap_c + h_c + nadph_c ,"Alternate Carbon Metabolism","Glycerol-3-phosphate dehydrogenase (NADP)",b3608
MOAT,ckdo_c + lipidA_c  -> cmp_c + h_c + kdolipid4_c ,"Lipopolysaccharide Biosynthesis / Recycling","3-deoxy-D-manno-octulosonic acid transferase",b3633
MOAT2,ckdo_c + kdolipid4_c  -> cmp_c + h_c + kdo2lipid4_c ,"Lipopolysaccharide Biosynthesis / Recycling","3-deoxy-D-manno-octulosonic acid transferase",b3633
PTPATi,atp_c + h_c + pan4p_c  -> dpcoa_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Pantetheine-phosphate adenylyltransferase",b3634
PPCDC,4ppcys_c + h_c  -> co2_c + pan4p_c ,"Cofactor and Prosthetic Group Biosynthesis","Phosphopantothenoylcysteine decarboxylase",b3639
PPNCL2,4ppan_c + ctp_c + cys__L_c  -> 4ppcys_c + cmp_c + h_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Phosphopantothenate-cysteine ligase",b3639
DUTPDP,dutp_c + h2o_c  -> dump_c + h_c + ppi_c ,"Nucleotide Salvage Pathway","DUTP diphosphatase",b3640 or b2251
DGK1,atp_c + dgmp_c  <=> adp_c + dgdp_c ,"Nucleotide Salvage Pathway","Deoxyguanylate kinase (dGMP:ATP)",b3648
GK1,atp_c + gmp_c  <=> adp_c + gdp_c ,"Nucleotide Salvage Pathway","Guanylate kinase (GMP:ATP)",b3648
GDPDPK,atp_c + gdp_c  -> amp_c + h_c + ppgpp_c ,"Cofactor and Prosthetic Group Biosynthesis","GDP diphosphokinase",b2784 or b3650
GDPTPDP,gdptp_c + h2o_c  -> gtp_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase",b3650
PPGPPDP,h2o_c + ppgpp_c  -> gdp_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",b3650
GF6PTA,f6p_c + gln__L_c  -> gam6p_c + glu__L_c ,"Cell Envelope Biosynthesis","Glutamine-fructose-6-phosphate transaminase",b3729
G1PACT,accoa_c + gam1p_c  -> acgam1p_c + coa_c + h_c ,"Cell Envelope Biosynthesis","Glucosamine-1-phosphate N-acetyltransferase",b3730
UAGDP,acgam1p_c + h_c + utp_c  -> ppi_c + uacgam_c ,"Cell Envelope Biosynthesis","UDP-N-acetylglucosamine diphosphorylase",b3730
UPP3S,hmbil_c  -> h2o_c + uppg3_c ,"Cofactor and Prosthetic Group Biosynthesis","Uroporphyrinogen-III synthase",b3804
HMBS,h2o_c + 4 ppbng_c  -> hmbil_c + 4 nh4_c ,"Cofactor and Prosthetic Group Biosynthesis","Hydroxymethylbilane synthase",b3805
PPPGO,1.5 o2_c + pppg9_c  -> 3 h2o_c + ppp9_c ,"Cofactor and Prosthetic Group Biosynthesis","Protoporphyrinogen oxidase (aerobic)",b3850
PPPGO3,3 fum_c + pppg9_c  -> ppp9_c + 3 succ_c ,"Cofactor and Prosthetic Group Biosynthesis","Protoporphyrinogen oxidase (anaerobic)",b3850
GLUR,glu__D_c  <=> glu__L_c ,"Cell Envelope Biosynthesis","Glutamate racemase",b3967
UAPGR,h_c + nadph_c + uaccg_c  -> nadp_c + uamr_c ,"Cell Envelope Biosynthesis","UDP-N-acetylenolpyruvoylglucosamine reductase",b3972
PNTK,atp_c + pnto__R_c  -> adp_c + 4ppan_c + h_c ,"Cofactor and Prosthetic Group Biosynthesis","Pantothenate kinase",b3974
HBZOPT,4hbz_c + octdp_c  -> 3ophb_c + ppi_c ,"Cofactor and Prosthetic Group Biosynthesis","Hydroxybenzoate octaprenyltransferase",b4040
G3PAT120,ddcaACP_c + glyc3p_c  -> 1ddecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C12:0)",b1094 and b4041
G3PAT140,glyc3p_c + myrsACP_c  -> 1tdecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C14:0)",b1094 and b4041
G3PAT141,glyc3p_c + tdeACP_c  -> 1tdec7eg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C14:1)",b1094 and b4041
G3PAT160,glyc3p_c + palmACP_c  -> 1hdecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C16:0)",b1094 and b4041
G3PAT161,glyc3p_c + hdeACP_c  -> 1hdec9eg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C16:1)",b1094 and b4041
G3PAT180,glyc3p_c + ocdcaACP_c  -> 1odecg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C18:0)",b1094 and b4041
G3PAT181,glyc3p_c + octeACP_c  -> 1odec11eg3p_c + ACP_c ,"Glycerophospholipid Metabolism","Glycerol-3-phosphate acyltransferase (C18:1)",b1094 and b4041
PSD120,h_c + ps120_c  -> co2_c + pe120_c ,"Glycerophospholipid Metabolism","Phosphatidylserine decarboxylase (n-C12:0)",b4160
PSD140,h_c + ps140_c  -> co2_c + pe140_c ,"Glycerophospholipid Metabolism","Phosphatidylserine decarboxylase (n-C14:0)",b4160
PSD141,h_c + ps141_c  -> co2_c + pe141_c ,"Glycerophospholipid Metabolism","Phosphatidylserine decarboxylase (n-C14:1)",b4160
PSD160,h_c + ps160_c  -> co2_c + pe160_c ,"Glycerophospholipid Metabolism","Phosphatidylserine decarboxylase (n-C16:0)",b4160
PSD161,h_c + ps161_c  -> co2_c + pe161_c ,"Glycerophospholipid Metabolism","Phosphatidylserine decarboxylase (n-C16:1)",b4160
PSD180,h_c + ps180_c  -> co2_c + pe180_c ,"Glycerophospholipid Metabolism","Phosphatidylserine decarboxylase (n-C18:0)",b4160
PSD181,h_c + ps181_c  -> co2_c + pe181_c ,"Glycerophospholipid Metabolism","Phosphatidylserine decarboxylase (n-C18:1)",b4160
NTP1,atp_c + h2o_c  -> adp_c + h_c + pi_c ,"Biomass and maintenance functions","Nucleoside-triphosphatase (ATP)",b0650 or b4161
NTP10,h2o_c + itp_c  -> h_c + idp_c + pi_c ,"Nucleotide Salvage Pathway","Nucleoside-triphosphatase (ITP)",b4161 or b4394
NTP3,gtp_c + h2o_c  -> gdp_c + h_c + pi_c ,"Nucleotide Salvage Pathway","Nucleoside-triphosphatase (GTP)",b4161
NTP5,ctp_c + h2o_c  -> cdp_c + h_c + pi_c ,"Nucleotide Salvage Pathway","Nucleoside-triphosphatase (CTP)",b4161
PPA,h2o_c + ppi_c  -> h_c + 2 pi_c ,"Anaplerotic Reactions","Inorganic diphosphatase",b2744 or b4226 or b2502
VALTRS,atp_c + val__L_c + trnaval_c  -> amp_c + ppi_c + valtrna_c ,"tRNA Charging","Valyl-tRNA synthetase",b4258
ACOLIPAabctex,atp_c + h2o_c + acolipa_p  -> adp_c + h_c + pi_c + acolipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
CLIPAabctex,atp_c + h2o_c + lipa_cold_p  -> adp_c + h_c + pi_c + lipa_cold_e ,"Lipopolysaccharide Biosynthesis / Recycling","Cold lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAPabctex,atp_c + h2o_c + colipap_p  -> adp_c + h_c + pi_c + colipap_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAabctex,atp_c + h2o_c + colipa_p  -> adp_c + h_c + pi_c + colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ENLIPAabctex,atp_c + h2o_c + enlipa_p  -> adp_c + h_c + pi_c + enlipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Phosphoethanolamine lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ECA4COLIPAabctex,atp_c + h2o_c + eca4colipa_p  -> adp_c + h_c + pi_c + eca4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
LIPAabctex,atp_c + h2o_c + lipa_p  -> adp_c + h_c + pi_c + lipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
K2L4Aabctex,atp_c + h2o_c + kdo2lipid4_p  -> adp_c + h_c + pi_c + kdo2lipid4_e ,"Lipopolysaccharide Biosynthesis / Recycling","KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
O16A4COLIPAabctex,atp_c + h2o_c + o16a4colipa_p  -> adp_c + h_c + pi_c + o16a4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ACOLIPAabctex,atp_c + h2o_c + acolipa_p  -> adp_c + h_c + pi_c + acolipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
CLIPAabctex,atp_c + h2o_c + lipa_cold_p  -> adp_c + h_c + pi_c + lipa_cold_e ,"Lipopolysaccharide Biosynthesis / Recycling","Cold lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAPabctex,atp_c + h2o_c + colipap_p  -> adp_c + h_c + pi_c + colipap_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
COLIPAabctex,atp_c + h2o_c + colipa_p  -> adp_c + h_c + pi_c + colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ENLIPAabctex,atp_c + h2o_c + enlipa_p  -> adp_c + h_c + pi_c + enlipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Phosphoethanolamine lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
ECA4COLIPAabctex,atp_c + h2o_c + eca4colipa_p  -> adp_c + h_c + pi_c + eca4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Enterobacterial common antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
LIPAabctex,atp_c + h2o_c + lipa_p  -> adp_c + h_c + pi_c + lipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","Lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
K2L4Aabctex,atp_c + h2o_c + kdo2lipid4_p  -> adp_c + h_c + pi_c + kdo2lipid4_e ,"Lipopolysaccharide Biosynthesis / Recycling","KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
O16A4COLIPAabctex,atp_c + h2o_c + o16a4colipa_p  -> adp_c + h_c + pi_c + o16a4colipa_e ,"Lipopolysaccharide Biosynthesis / Recycling","O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)",b3200 and b3201 and b3199 and b4261 and b4262
